id1 id2
1_internal_16974 14_internal_6170
1_internal_15666 11_internal_7789
6_internal_10538 11_internal_7504
8_internal_6686 18_internal_3044
6_internal_10303 14_internal_5885
6_internal_10538 19_internal_5970
3_internal_10709 6_internal_10538
6_internal_10472 12_internal_8839
5_internal_8161 11_internal_7804
3_internal_11677 6_internal_10475
2_internal_13437 14_internal_5411
2_internal_13914 6_internal_9928
6_internal_9918 10_internal_8215
10_internal_7527 17_internal_7920
11_internal_7547 19_internal_5825
18_internal_3007 19_internal_5807
5_internal_8205 19_internal_6064
11_internal_7811 14_internal_5678
1_internal_16974 11_internal_8082
3_internal_10753 6_internal_10586
19_internal_5825 20_internal_4925
1_internal_16538 2_internal_13320
5_internal_8403 6_internal_9964
8_internal_6776 22_internal_3233
6_internal_10038 7_internal_8132
4_internal_6941 16_internal_5545
8_internal_7062 11_internal_7633
16_internal_5556 17_internal_8036
13_internal_3738 20_internal_4925
15_internal_5757 22_internal_3249
8_internal_6686 11_internal_7853
3_internal_12855 21_internal_2563
7_internal_8084 18_internal_3502
1_internal_16518 6_internal_10475
11_internal_7557 17_internal_7818
7_internal_8262 8_internal_6835
6_internal_9964 11_internal_7520
1_internal_15666 9_internal_9182
1_internal_16470 11_internal_8882
16_internal_5740 19_internal_5863
13_internal_3824 19_internal_5825
11_internal_7640 15_internal_5998
5_internal_8999 11_internal_7480
3_internal_11227 6_internal_9964
4_internal_7359 21_internal_2675
3_internal_10709 9_internal_6951
17_internal_8010 18_internal_3044
3_internal_11303 5_internal_8133
1_internal_15713 11_internal_7789
6_internal_10586 7_internal_8025
19_internal_5899 21_internal_2563
9_internal_6601 22_internal_3219
8_internal_6780 14_internal_5413
1_internal_15977 8_internal_6702
7_internal_8709 14_internal_6170
7_internal_9146 8_internal_6780
1_internal_16181 7_internal_8330
8_internal_6780 13_internal_3738
5_internal_8161 7_internal_8386
2_internal_13046 6_internal_10038
19_internal_5863 20_internal_4768
12_internal_8561 14_internal_5417
2_internal_13403 4_internal_7194
1_internal_23065 17_internal_8574
2_internal_14140 19_internal_5810
9_internal_6571 12_internal_8589
4_internal_7359 5_internal_8205
7_internal_8132 12_internal_8561
3_internal_10929 7_internal_8386
6_internal_12232 11_internal_7520
2_internal_13556 19_internal_5810
17_internal_8010 21_internal_2563
