"id1" "id2"
"23870" "14_internal_5898" "19_internal_5985"
"16541" "12_internal_12385" "17_internal_7654"
"29027" "1_internal_15656" "6_internal_10689"
"13817" "1_internal_15832" "19_internal_6085"
"51754" "3_internal_10953" "17_internal_7654"
"24566" "14_internal_5554" "21_internal_2157"
"30543" "17_internal_8528" "19_internal_6660"
"48233" "2_internal_16183" "9_internal_8633"
"65947" "5_internal_8482" "21_internal_2262"
"29572" "1_internal_16533" "6_internal_10358"
"41550" "2_internal_14093" "20_internal_4749"
"79695" "8_internal_8862" "15_internal_5990"
"65479" "5_internal_8394" "19_internal_6126"
"16020" "12_internal_8495" "16_internal_5774"
"28391" "16_internal_6166" "19_internal_5998"
"63365" "5_internal_8477" "12_internal_10370"
"46128" "2_internal_13479" "6_internal_10689"
"9713" "1_internal_15894" "12_internal_8639"
"15463" "12_internal_8674" "14_internal_5530"
"10980" "1_internal_15899" "14_internal_5607"
"73682" "6_internal_10689" "9_internal_6805"
"9377" "1_internal_15832" "12_internal_9057"
"63411" "5_internal_8263" "12_internal_10810"
"69886" "6_internal_10358" "14_internal_5558"
"58006" "4_internal_7359" "13_internal_3981"
"1507" "10_internal_7733" "15_internal_5512"
"27827" "1_internal_15899" "5_internal_8482"
"68288" "6_internal_12610" "11_internal_7806"
"23879" "14_internal_5898" "19_internal_5973"
"58423" "4_internal_7614" "14_internal_5558"
"28623" "16_internal_8086" "21_internal_2566"
"41820" "2_internal_13569" "20_internal_4702"
"60271" "4_internal_7391" "22_internal_3429"
"16380" "12_internal_10810" "17_internal_8640"
"66406" "5_internal_8133" "6_internal_10917"
"4666" "11_internal_8035" "12_internal_8486"
"3335" "1_internal_17181" "10_internal_8829"
"53950" "3_internal_11864" "4_internal_7831"
"17311" "1_internal_17181" "21_internal_2190"
"22923" "1_internal_16427" "3_internal_11279"
"53366" "3_internal_11018" "22_internal_3362"
"41582" "2_internal_13803" "20_internal_4702"
"26474" "15_internal_5446" "20_internal_4919"
"36276" "2_internal_13354" "11_internal_7844"
"17792" "12_internal_9055" "20_internal_4919"
"35830" "2_internal_14084" "11_internal_7890"
"73321" "6_internal_10689" "8_internal_7697"
"82051" "9_internal_6805" "10_internal_8446"
"3017" "10_internal_8829" "21_internal_2157"
"74109" "7_internal_8021" "11_internal_7782"
"24664" "14_internal_5558" "22_internal_3429"
"71241" "6_internal_10398" "18_internal_3090"
"65638" "5_internal_8482" "20_internal_4749"
"3080" "10_internal_7733" "21_internal_2268"
"36141" "2_internal_13569" "11_internal_9424"
"63649" "5_internal_8525" "12_internal_8486"
"938" "10_internal_7711" "13_internal_3883"
"56831" "4_internal_7369" "10_internal_8331"
"13299" "1_internal_16198" "19_internal_5998"
"29583" "1_internal_16533" "6_internal_10689"
"14368" "1_internal_16421" "20_internal_4919"
"66002" "5_internal_8263" "21_internal_2680"
"78776" "8_internal_7229" "12_internal_9055"
"4447" "11_internal_7625" "12_internal_8486"
"77884" "8_internal_7697" "10_internal_7711"
"41831" "2_internal_13479" "20_internal_4839"
"20151" "1_internal_16440" "2_internal_13204"
"40767" "2_internal_13337" "19_internal_5968"
"46125" "2_internal_13479" "6_internal_9847"
"62604" "5_internal_9676" "10_internal_7711"
"18251" "12_internal_8486" "21_internal_2668"
"11985" "1_internal_16533" "16_internal_5606"
"84682" "9_internal_6805" "22_internal_3429"
"4392" "11_internal_7586" "12_internal_8665"
"52944" "3_internal_11256" "20_internal_4839"
"7041" "1_internal_16036" "11_internal_7924"
"74529" "7_internal_9994" "12_internal_10810"
"35461" "2_internal_14060" "10_internal_7711"
"21264" "13_internal_4091" "17_internal_7654"
"6768" "11_internal_7844" "19_internal_6085"
"8150" "11_internal_7806" "20_internal_4839"
"29531" "1_internal_16440" "6_internal_10291"
"19303" "1_internal_15656" "2_internal_13337"
"74012" "7_internal_8186" "10_internal_7733"
"15429" "12_internal_12385" "14_internal_5558"
"36500" "2_internal_14530" "11_internal_7924"
"8083" "11_internal_7890" "20_internal_4749"
"38207" "2_internal_13910" "14_internal_5558"
"3900" "1_internal_16533" "10_internal_7711"
"32854" "1_internal_16135" "8_internal_7229"
"57681" "4_internal_8302" "12_internal_8639"
"3770" "1_internal_15832" "10_internal_7711"
"45090" "2_internal_15591" "5_internal_8133"
"37981" "2_internal_15427" "13_internal_4070"
"27914" "16_internal_5606" "17_internal_7924"
"49165" "3_internal_10883" "11_internal_8157"
"42813" "2_internal_13337" "3_internal_11601"
"13551" "1_internal_15656" "19_internal_6081"
"21804" "1_internal_16198" "3_internal_10883"
"45474" "2_internal_13232" "5_internal_8502"
"20218" "1_internal_16533" "2_internal_13479"
"2873" "10_internal_7733" "20_internal_5005"
"24883" "1_internal_15656" "4_internal_7614"
"24053" "14_internal_5558" "19_internal_5811"
"40395" "2_internal_14458" "17_internal_7654"
"41556" "2_internal_14093" "20_internal_5790"
"21811" "1_internal_17181" "3_internal_11279"
"70986" "6_internal_10162" "17_internal_7924"
"4835" "11_internal_8473" "13_internal_4070"
"65393" "5_internal_8263" "19_internal_6085"
"63301" "5_internal_8133" "12_internal_13817"
"50507" "3_internal_11864" "13_internal_3849"
"79353" "8_internal_7697" "14_internal_5530"
"10856" "1_internal_16768" "14_internal_5530"
"32866" "1_internal_15832" "8_internal_7697"
"8455" "11_internal_7586" "21_internal_2157"
"28176" "16_internal_5789" "19_internal_5998"
"7698" "1_internal_16440" "11_internal_7683"
"63107" "5_internal_8304" "11_internal_7924"
"15281" "12_internal_8847" "14_internal_6921"
"42251" "2_internal_13204" "21_internal_2668"
"63634" "5_internal_8304" "12_internal_8495"
"63647" "5_internal_8525" "12_internal_8617"
"34812" "2_internal_20727" "10_internal_11618"
"52549" "3_internal_11256" "19_internal_5968"
"82345" "9_internal_6626" "11_internal_7782"
"46306" "2_internal_14060" "6_internal_10398"
"10555" "1_internal_18016" "14_internal_6278"
"56188" "3_internal_11864" "8_internal_6905"
"62882" "5_internal_8477" "11_internal_7586"
"38294" "2_internal_13404" "14_internal_5530"
"72227" "6_internal_10398" "21_internal_2157"
"68954" "6_internal_9921" "12_internal_8665"
"78701" "8_internal_7362" "12_internal_8617"
"52336" "3_internal_10883" "19_internal_5998"
