from to weigth
2_internal_13334 7_internal_8170 1
6_internal_9758 20_internal_4527 1
2_internal_13075 22_internal_3232 1
2_internal_13478 5_internal_8439 1
8_internal_7467 13_internal_3993 1
1_internal_16047 12_internal_8565 1
4_internal_7069 19_internal_5935 1
1_internal_15762 14_internal_5838 1
11_internal_9866 17_internal_8231 1
8_internal_7011 20_internal_5477 1
3_internal_12517 10_internal_10723 1
1_internal_17069 10_internal_7789 1
7_internal_8144 16_internal_5421 1
6_internal_10573 11_internal_7766 1
1_internal_15887 14_internal_5429 1
3_internal_11810 5_internal_8189 1
3_internal_11084 9_internal_6618 1
1_internal_16680 11_internal_7609 1
1_internal_16864 18_internal_3333 1
1_internal_16165 13_internal_3993 1
10_internal_8245 11_internal_7766 1
4_internal_6993 8_internal_8933 1
5_internal_8811 15_internal_5493 1
1_internal_17069 5_internal_9459 1
1_internal_16864 8_internal_6685 1
5_internal_8127 6_internal_9758 1
2_internal_13075 4_internal_7069 1
7_internal_7973 19_internal_5862 1
5_internal_9048 11_internal_7755 1
1_internal_17069 17_internal_7737 1
6_internal_10573 8_internal_8933 1
14_internal_5429 19_internal_5928 1
2_internal_13338 8_internal_7063 1
3_internal_17125 10_internal_10930 1
8_internal_6743 15_internal_6003 1
10_internal_10723 19_internal_8727 1
11_internal_7668 22_internal_3268 1
20_internal_5636 21_internal_2466 1
11_internal_7668 19_internal_5928 1
2_internal_13075 20_internal_4527 1
6_internal_9898 8_internal_6685 1
20_internal_5636 22_internal_3529 1
2_internal_13075 7_internal_7973 1
5_internal_8468 19_internal_5919 1
1_internal_17069 3_internal_11810 1
6_internal_9758 19_internal_5862 1
17_internal_7683 20_internal_4570 1
5_internal_9459 6_internal_10512 1
7_internal_8170 14_internal_5454 1
6_internal_9889 14_internal_5404 1
2_internal_13478 8_internal_6685 1
11_internal_8327 17_internal_8231 1
1_internal_15992 19_internal_5928 1
6_internal_9898 8_internal_7137 1
1_internal_15992 17_internal_8096 1
6_internal_9889 12_internal_8565 1
11_internal_8497 17_internal_8163 1
7_internal_8036 19_internal_5862 1
12_internal_9138 20_internal_5636 1
6_internal_9794 19_internal_6118 1
1_internal_16393 19_internal_6382 1
1_internal_17069 2_internal_14512 1
6_internal_9889 20_internal_4752 1
2_internal_14249 11_internal_8314 1
1_internal_16393 14_internal_5707 1
1_internal_16864 21_internal_2466 1
19_internal_5919 22_internal_3674 1
16_internal_5421 19_internal_6209 1
1_internal_16355 10_internal_8245 1
14_internal_5404 17_internal_8231 1
9_internal_7193 19_internal_8727 1
5_internal_8448 6_internal_10481 1
5_internal_8127 14_internal_5707 1
1_internal_15887 16_internal_5421 1
16_internal_5421 17_internal_8096 1
17_internal_8096 20_internal_4527 1
14_internal_5707 22_internal_3674 1
1_internal_16165 7_internal_8005 1
7_internal_7973 16_internal_5421 1
1_internal_16101 14_internal_5707 1
3_internal_10724 6_internal_9751 1
7_internal_7974 15_internal_6519 1
18_internal_3333 20_internal_5052 1
6_internal_10573 17_internal_7737 1
1_internal_17069 3_internal_11084 1
2_internal_13478 11_internal_8369 1
2_internal_13478 15_internal_6003 1
11_internal_8369 20_internal_5052 1
5_internal_8406 6_internal_9751 1
7_internal_8036 14_internal_5429 1
7_internal_8170 10_internal_7789 1
8_internal_7137 11_internal_8369 1
8_internal_6743 11_internal_9015 1
1_internal_17606 8_internal_6743 1
1_internal_15831 6_internal_9758 1
1_internal_16864 20_internal_5052 1
3_internal_12517 8_internal_6743 1
1_internal_16680 14_internal_5707 1
14_internal_5429 21_internal_2145 1
6_internal_9751 16_internal_5583 1
1_internal_15762 6_internal_11876 1
11_internal_8369 20_internal_4738 1
3_internal_11289 20_internal_4555 1
1_internal_15831 17_internal_8096 1
1_internal_17069 6_internal_10068 1
4_internal_7069 16_internal_5421 1
5_internal_8468 6_internal_9837 1
7_internal_8706 19_internal_8727 1
14_internal_5404 20_internal_4602 1
5_internal_8392 7_internal_8234 1
11_internal_7579 20_internal_4527 1
5_internal_8189 8_internal_8933 1
1_internal_16097 3_internal_10816 1
1_internal_16010 20_internal_4570 1
5_internal_8392 6_internal_10573 1
20_internal_4555 22_internal_3268 1
2_internal_13856 4_internal_6953 1
1_internal_17069 11_internal_8016 1
8_internal_7063 19_internal_5846 1
2_internal_13075 14_internal_5549 1
15_internal_5900 19_internal_6361 1
5_internal_8189 11_internal_7820 1
1_internal_15823 14_internal_5781 1
3_internal_11810 11_internal_7766 1
19_internal_5862 20_internal_4527 1
2_internal_14754 19_internal_6283 1
5_internal_8448 13_internal_3755 1
11_internal_7511 14_internal_5404 1
11_internal_9015 18_internal_3333 1
11_internal_8101 16_internal_5509 1
19_internal_6190 22_internal_3674 1
1_internal_16097 21_internal_2547 1
8_internal_6685 12_internal_9138 1
7_internal_8234 14_internal_5404 1
11_internal_7755 12_internal_8792 1
17_internal_7960 20_internal_5636 1
5_internal_8392 21_internal_2547 1
2_internal_13307 21_internal_2145 1
17_internal_8038 19_internal_6250 1
11_internal_8369 15_internal_6598 1
1_internal_15992 8_internal_6895 1
11_internal_7755 15_internal_5671 1
19_internal_6190 22_internal_3232 1
5_internal_8127 19_internal_5935 1
2_internal_13478 3_internal_11674 1
17_internal_8096 22_internal_3268 1
7_internal_12399 10_internal_8305 1
2_internal_13808 19_internal_6283 1
8_internal_6685 14_internal_5935 1
4_internal_6953 15_internal_5574 1
11_internal_8369 12_internal_9138 1
3_internal_12517 19_internal_8727 1
5_internal_8448 6_internal_10512 1
8_internal_7467 21_internal_2146 1
2_internal_13345 5_internal_8392 1
20_internal_4555 22_internal_3269 1
1_internal_16864 3_internal_12517 1
2_internal_13075 21_internal_2145 1
6_internal_10512 7_internal_8234 1
6_internal_10198 11_internal_7766 1
1_internal_15964 3_internal_11810 1
6_internal_11618 12_internal_8583 1
1_internal_17069 11_internal_8327 1
19_internal_8727 20_internal_4738 1
5_internal_8127 19_internal_6190 1
11_internal_8431 20_internal_4657 1
6_internal_9794 17_internal_8038 1
1_internal_16198 19_internal_6209 1
7_internal_8706 18_internal_3333 1
12_internal_9138 17_internal_7960 1
1_internal_17069 6_internal_10198 1
5_internal_8189 6_internal_10501 1
14_internal_5429 20_internal_4570 1
16_internal_5608 22_internal_3529 1
1_internal_16101 6_internal_9751 1
2_internal_13345 6_internal_10573 1
11_internal_7755 14_internal_5935 1
10_internal_7789 14_internal_5404 1
11_internal_9931 12_internal_8565 1
10_internal_10743 19_internal_6283 1
4_internal_7069 12_internal_8830 1
1_internal_16435 20_internal_5477 1
15_internal_6003 20_internal_5636 1
7_internal_8036 22_internal_3269 1
8_internal_7137 11_internal_7755 1
1_internal_16010 19_internal_6118 1
14_internal_5935 20_internal_5477 1
7_internal_7931 11_internal_8314 1
14_internal_5935 18_internal_3333 1
2_internal_13075 22_internal_3269 1
6_internal_10198 8_internal_8933 1
3_internal_11084 6_internal_10512 1
4_internal_7429 10_internal_10930 1
1_internal_17069 9_internal_6618 1
10_internal_8245 14_internal_5404 1
10_internal_8093 11_internal_7755 1
5_internal_9459 8_internal_8933 1
6_internal_9758 19_internal_5928 1
5_internal_8201 8_internal_8933 1
5_internal_8189 12_internal_8565 1
5_internal_8189 6_internal_10068 1
14_internal_5707 19_internal_5919 1
1_internal_15992 14_internal_5612 1
6_internal_10512 9_internal_6618 1
8_internal_6685 15_internal_6003 1
6_internal_10512 11_internal_8016 1
16_internal_8690 21_internal_2562 1
14_internal_5549 19_internal_5935 1
2_internal_13856 11_internal_8369 1
5_internal_8392 11_internal_8016 1
6_internal_9758 11_internal_7579 1
1_internal_16314 12_internal_8670 1
8_internal_7063 14_internal_5758 1
3_internal_11810 11_internal_8327 1
5_internal_9048 6_internal_9898 1
1_internal_16274 10_internal_8305 1
16_internal_5583 19_internal_6209 1
1_internal_16680 2_internal_14484 1
1_internal_16010 2_internal_13075 1
16_internal_5421 19_internal_5919 1
1_internal_16864 3_internal_11674 1
3_internal_10816 5_internal_9459 1
2_internal_13808 7_internal_8123 1
1_internal_17069 7_internal_8234 1
3_internal_11084 6_internal_9889 1
11_internal_7579 21_internal_2145 1
2_internal_13075 20_internal_4605 1
3_internal_10816 11_internal_9931 1
3_internal_11034 7_internal_8036 1
5_internal_8538 19_internal_6118 1
1_internal_16337 6_internal_9751 1
8_internal_7467 19_internal_6250 1
12_internal_9138 13_internal_3995 1
15_internal_6100 21_internal_2547 1
8_internal_7433 21_internal_2146 1
2_internal_13856 20_internal_5052 1
5_internal_8189 6_internal_10573 1
6_internal_10573 12_internal_8565 1
11_internal_8327 14_internal_5404 1
2_internal_13856 12_internal_9138 1
1_internal_16018 6_internal_9889 1
7_internal_8005 20_internal_4570 1
8_internal_7650 14_internal_5404 1
5_internal_8127 22_internal_3269 1
7_internal_8036 17_internal_8096 1
11_internal_7579 19_internal_6209 1
12_internal_9138 18_internal_3333 1
8_internal_8933 17_internal_8231 1
2_internal_13478 14_internal_7137 1
1_internal_16198 19_internal_5846 1
6_internal_9898 10_internal_10723 1
2_internal_13190 5_internal_11818 1
8_internal_7467 20_internal_5268 1
2_internal_13478 3_internal_12517 1
6_internal_10573 9_internal_6618 1
14_internal_5429 22_internal_3269 1
1_internal_16018 13_internal_3755 1
14_internal_5612 19_internal_6190 1
6_internal_9751 21_internal_2145 1
5_internal_8439 11_internal_7755 1
5_internal_8127 22_internal_3674 1
5_internal_9459 14_internal_5404 1
